Date,Time,Y,Open,High,Close,Low,Volume
2012.12.07,8:00,1702.94,1696.99,1701.27,1683.81,1698.3,11801
2012.12.07,9:00,1703.19,1698.57,1705.32,1694.86,1700.55,9817
2012.12.07,10:00,1701.67,1700.32,1704.23,1699.97,1702.15,7155
2012.12.07,11:00,1701.7,1702.09,1702.48,1698.92,1700.85,4902
2012.12.07,12:00,1703.57,1700.86,1701.72,1698.97,1701.68,3233
2012.12.07,13:00,1703.2,1701.7,1704.51,1701.43,1702.62,3032
2012.12.07,14:00,1704.44,1702.64,1703.43,1701.46,1702.97,1777
2012.12.07,15:00,1704.37,1702.96,1704.57,1702.63,1704.3,1442
2012.12.07,16:00,1704.18,1704.36,1704.77,1703.11,1703.96,1382
2012.12.09,18:00,1705.86,1704.1,1705.02,1702.59,1703.33,1799
2012.12.09,19:00,1707.41,1703.37,1705.86,1702.73,1705.86,2113
2012.12.09,20:00,1706.55,1705.88,1707.89,1705.53,1706.92,2673
2012.12.09,21:00,1706.07,1706.93,1707.08,1705.3,1706.02,2093
2012.12.09,22:00,1706.14,1706.05,1706.73,1705.4,1705.41,1429
2012.12.09,23:00,1708.6,1705.43,1706.45,1705.32,1705.83,1287
2012.12.10,0:00,1708.45,1705.86,1708.74,1705.13,1708.45,1903
2012.12.10,1:00,1708.47,1708.46,1708.88,1707.4,1708.01,1981
2012.12.10,2:00,1710.5,1708.07,1709.13,1706.95,1707.8,2772
2012.12.10,3:00,1710.83,1707.86,1710.59,1707.02,1710.4,2895
2012.12.10,4:00,1710.75,1710.39,1711.47,1709.69,1710.18,1932
2012.12.10,5:00,1712.49,1710.19,1710.8,1708.17,1710.7,2546
2012.12.10,6:00,1712.91,1710.71,1713.54,1710.63,1711.43,2798
2012.12.10,7:00,1716.27,1711.38,1713.25,1710.73,1712.56,2375
2012.12.10,8:00,1714.76,1712.55,1717.15,1712.55,1715.38,4117
2012.12.10,9:00,1714.87,1715.33,1716.07,1712.42,1713.45,4400
2012.12.10,10:00,1713.5,1713.43,1715.11,1711.95,1714.63,3976
2012.12.10,11:00,1712.98,1714.62,1714.76,1712,1712.23,2404
2012.12.10,12:00,1713.32,1712.22,1713.43,1711.81,1712.53,2243
2012.12.10,13:00,1712.02,1712.54,1714.17,1712.06,1712.47,1732
2012.12.10,14:00,1712.12,1712.46,1712.54,1710.71,1711.5,1561
2012.12.10,15:00,1712.77,1711.46,1712.65,1711.2,1711.59,1190
2012.12.10,16:00,1712.76,1711.6,1712.89,1711.33,1712.64,844
2012.12.10,17:00,1712.17,1712.63,1712.95,1712.52,1712.57,146
2012.12.10,18:00,1710.61,1712.31,1712.95,1711.09,1711.39,889
2012.12.10,19:00,1709.59,1711.4,1711.78,1709.43,1709.43,1780
2012.12.10,20:00,1709.93,1709.44,1709.78,1708.14,1709.39,2503
2012.12.10,21:00,1709,1709.41,1710.48,1708.95,1709.38,1478
2012.12.10,22:00,1709.79,1709.36,1710.02,1706.79,1707.97,1758
2012.12.10,23:00,1709.48,1708.02,1710.14,1707.66,1709.43,2826
2012.12.11,0:00,1709.59,1709.35,1709.7,1708.15,1709.25,1884
2012.12.11,1:00,1709.52,1709.2,1710.06,1708.21,1709.12,1841
2012.12.11,2:00,1709.69,1709.11,1709.7,1708.34,1709.34,2534
2012.12.11,3:00,1709.54,1709.33,1710.32,1708.8,1709.06,2113
2012.12.11,4:00,1709.64,1709.03,1709.73,1707.85,1709.35,2271
2012.12.11,5:00,1711.95,1709.36,1710.34,1708.85,1708.93,2500
2012.12.11,6:00,1713.8,1708.95,1711.96,1708.94,1711.93,2035
2012.12.11,7:00,1713.12,1711.88,1714.25,1711.7,1713.35,2481
2012.12.11,8:00,1711.4,1713.27,1713.81,1710.65,1712.43,4338
2012.12.11,9:00,1708.49,1712.42,1713.19,1706.23,1709.6,5671
2012.12.11,10:00,1707.17,1709.61,1710.03,1704.73,1706.95,5009
2012.12.11,11:00,1708.4,1706.99,1707.75,1705.2,1706.58,3462
2012.12.11,12:00,1708.44,1706.59,1708.84,1705.98,1707.95,2218
2012.12.11,13:00,1709.06,1707.94,1709.09,1706.81,1707.79,2311
2012.12.11,14:00,1709.87,1707.77,1709.1,1707.68,1709.02,1292
